Name	Count	Type	Strand
r__no_feature	571511	no_feature	reverse
r__ambiguous	209977	ambiguous	reverse
r__too_low_aQual	11055	too_low_aQual	reverse
r__not_aligned	260895	not_aligned	reverse
r__alignment_not_unique	501611	not_unique	reverse
s__no_feature	10243777	no_feature	stranded
s__ambiguous	7517	ambiguous	stranded
s__too_low_aQual	11055	too_low_aQual	stranded
s__not_aligned	260895	not_aligned	stranded
s__alignment_not_unique	501611	not_unique	stranded
