Count Length
421 35
465 36
559 37
556 38
654 39
663 40
676 41
661 42
679 43
677 44
657 45
655 46
635 47
609 48
583 49
533 50
526 51
540 52
526 53
525 54
502 55
523 56
527 57
554 58
554 59
578 60
549 61
593 62
562 63
557 64
517 65
603 66
587 67
592 68
635 69
612 70
615 71
638 72
611 73
609 74
570 75
541 76
611 77
541 78
558 79
513 80
499 81
464 82
502 83
517 84
517 85
542 86
577 87
537 88
547 89
552 90
557 91
576 92
527 93
567 94
612 95
966 96
2005 97
6229 98
4476 99
27521 100
255380 101
