Count Length
12139 35
11266 36
9750 37
8406 38
6681 39
6528 40
5763 41
5539 42
5233 43
5174 44
5220 45
5315 46
5496 47
5781 48
5980 49
6360 50
6484 51
6866 52
7298 53
7535 54
8023 55
8527 56
9057 57
9774 58
10499 59
10992 60
11701 61
11967 62
12773 63
13059 64
13303 65
13592 66
14116 67
14502 68
14927 69
15533 70
15999 71
16252 72
16619 73
16606 74
16986 75
17061 76
17941 77
17265 78
17944 79
17785 80
17917 81
18362 82
18970 83
19117 84
19238 85
19470 86
19546 87
19799 88
20136 89
20383 90
21329 91
20769 92
20826 93
21370 94
23291 95
29528 96
55954 97
176338 98
46774 99
341994 100
5424227 101
