Count Length
60 35
36 36
40 37
47 38
37 39
45 40
38 41
30 42
33 43
26 44
24 45
40 46
33 47
30 48
18 49
31 50
28 51
19 52
30 53
26 54
33 55
40 56
35 57
27 58
21 59
21 60
22 61
36 62
32 63
24 64
28 65
24 66
17 67
30 68
28 69
22 70
22 71
26 72
32 73
30 74
28 75
30 76
33 77
25 78
26 79
34 80
39 81
40 82
30 83
36 84
41 85
45 86
35 87
46 88
40 89
50 90
37 91
35 92
39 93
49 94
40 95
68 96
68 97
211 98
203 99
922 100
4677 101
